dataset,pipeline,f1,pr_auc,roc_auc,accuracy
UCI-Epileptic (Real),Pipeline-A,0.35888795282224095,0.4641790404452859,0.5025850661625708,0.6691304347826087
UCI-Epileptic (Real),Pipeline-B,0.8872802481902792,0.9674372293568905,0.990835302457467,0.9526086956521739
CHB-MIT Proxy (Real),Pipeline-A,0.5391095066185319,0.6937152667049544,0.5174432892249528,0.5836956521739131
CHB-MIT Proxy (Real),Pipeline-B,0.994535519125683,0.9995774004416356,0.9994754253308128,0.9945652173913043
Kaggle-Frequency (Real),Pipeline-A,0.9834619625137817,0.9987705908144452,0.998397920604915,0.9836956521739131
Kaggle-Frequency (Real),Pipeline-B,0.989010989010989,0.9995536443511653,0.9994659735349716,0.9891304347826086
